"School Year","Division Number","Division Name","School Number","School Name","Subject","Race","Gender","Disadvantaged","English Learner","Migrant","Homeless","Military","Foster Care","Disabled","Test Source","Pass Rate"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","86.21"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","91.43"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","86.21"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","91.43"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Asian","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Asian","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL","50.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","64.29"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL","50.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","71.43"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","F","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","F","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","F","Y","Y","N","N","N","N","N","SOL","55.56"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","Y","Y","N","N","N","N","N","SOL","55.56"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Hispanic","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","Y","Y","N","N","N","N","N","SOL","50.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","Y","Y","N","N","N","N","N","SOL","50.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","F","Y","Y","N","N","N","N","N","SOL","70.00"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","F","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","M","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","M","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Hispanic","F","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Hispanic","F","Y","Y","N","Y","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Hispanic","F","Y","Y","N","Y","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","Y","N","N","Y","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","Y","N","N","Y","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","Y","N","N","Y","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","Y","N","N","Y","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL","72.73"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL","54.55"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Non-Hispanic, two or more races","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Non-Hispanic, two or more races","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Non-Hispanic, two or more races","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Black, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","Y","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","English:Writing","Black, not of Hispanic origin","F","Y","N","N","N","Y","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","Y","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","Science","Black, not of Hispanic origin","F","Y","N","N","N","Y","N","Y","SOL",">50"
