ID,Category,Total,With State Certification
510108000058,Teachers absent more than 10 days of the school year,0.19,
510108000058,Teachers employed during current school year,1,
510108000058,Teachers employed during both the current and previous school year,1.84,
510108000058,High-School Counselors,1,
510108000058,Total enrollment,,
510108000383,Classroom Teachers,1,1
510108000383,Classroom teachers in their first year of teaching,0.02,
510108000383,Classroom teachers in their second year of teaching,0.02,
510108000383,Teachers absent more than 10 days of the school year,0.35,
510108000383,Teachers employed during current school year,1,
510108000383,Teachers employed during both the current and previous school year,2.05,
510108000383,High-School Counselors,1,
510108000383,Total enrollment,,
510111000268,Classroom Teachers,1,1
510111000268,Classroom teachers in their first year of teaching,0.07,
510111000268,Classroom teachers in their second year of teaching,0.04,
510111000268,Teachers absent more than 10 days of the school year,0.93,
510111000268,Teachers employed during current school year,1.26,
510111000268,Teachers employed during both the current and previous school year,1.11,
510111000268,High-School Counselors,1,
510111000268,Total enrollment,,
510126000571,Classroom Teachers,1,0.9
510126000571,Classroom teachers in their first year of teaching,0.03,
510126000571,Classroom teachers in their second year of teaching,0,
510126000571,Teachers absent more than 10 days of the school year,0.24,
510126000571,Teachers employed during current school year,1.05,
510126000571,Teachers employed during both the current and previous school year,0.83,
510126000571,High-School Counselors,1,
510126000571,Total enrollment,,
510126000576,Classroom Teachers,1,0.89
510126000576,Classroom teachers in their first year of teaching,0.07,
510126000576,Classroom teachers in their second year of teaching,0.07,
510126000576,Teachers absent more than 10 days of the school year,0.26,
510126000576,Teachers employed during current school year,1.03,
510126000576,Teachers employed during both the current and previous school year,0.83,
510126000576,High-School Counselors,1,
510126000576,Total enrollment,,
510126000577,Classroom Teachers,1,0.93
510126000577,Classroom teachers in their first year of teaching,0.08,
510126000577,Classroom teachers in their second year of teaching,0.03,
510126000577,Teachers absent more than 10 days of the school year,0.36,
510126000577,Teachers employed during current school year,1.02,
510126000577,Teachers employed during both the current and previous school year,0.92,
510126000577,High-School Counselors,1,
510126000577,Total enrollment,,
510126000583,Classroom Teachers,1,0.86
510126000583,Classroom teachers in their first year of teaching,0.07,
510126000583,Classroom teachers in their second year of teaching,0.02,
510126000583,Teachers absent more than 10 days of the school year,0.42,
510126000583,Teachers employed during current school year,1.03,
510126000583,Teachers employed during both the current and previous school year,0.79,
510126000583,High-School Counselors,1,
510126000583,Total enrollment,,
510126000585,Classroom Teachers,1,0.94
510126000585,Classroom teachers in their first year of teaching,0.03,
510126000585,Classroom teachers in their second year of teaching,0.03,
510126000585,Teachers absent more than 10 days of the school year,0.28,
510126000585,Teachers employed during current school year,1.1,
510126000585,Teachers employed during both the current and previous school year,0.99,
510126000585,High-School Counselors,1,
510126000585,Total enrollment,,
510126000586,Classroom Teachers,1,0.98
510126000586,Classroom teachers in their first year of teaching,0.04,
510126000586,Classroom teachers in their second year of teaching,0,
510126000586,Teachers absent more than 10 days of the school year,0.35,
510126000586,Teachers employed during current school year,1.02,
510126000586,Teachers employed during both the current and previous school year,0.82,
510126000586,High-School Counselors,1,
510126000586,Total enrollment,,
510126000590,Classroom Teachers,1,0.96
510126000590,Classroom teachers in their first year of teaching,0,
510126000590,Classroom teachers in their second year of teaching,0.04,
510126000590,Teachers absent more than 10 days of the school year,0.48,
510126000590,Teachers employed during current school year,1.03,
510126000590,Teachers employed during both the current and previous school year,0.98,
510126000590,High-School Counselors,1,
510126000590,Total enrollment,,
510126000594,Classroom Teachers,1,0.95
510126000594,Classroom teachers in their first year of teaching,0.05,
510126000594,Classroom teachers in their second year of teaching,0.11,
510126000594,Teachers absent more than 10 days of the school year,0.27,
510126000594,Teachers employed during current school year,1.08,
510126000594,Teachers employed during both the current and previous school year,0.71,
510126000594,High-School Counselors,1,
510126000594,Total enrollment,,
510126000597,Classroom Teachers,1,0.97
510126000597,Classroom teachers in their first year of teaching,0.05,
510126000597,Classroom teachers in their second year of teaching,0.08,
510126000597,Teachers absent more than 10 days of the school year,0.43,
510126000597,Teachers employed during current school year,1.06,
510126000597,Teachers employed during both the current and previous school year,0.93,
510126000597,High-School Counselors,1,
510126000597,Total enrollment,,
510126000599,Classroom Teachers,1,0.9
510126000599,Classroom teachers in their first year of teaching,0.13,
510126000599,Classroom teachers in their second year of teaching,0.04,
510126000599,Teachers absent more than 10 days of the school year,0.36,
510126000599,Teachers employed during current school year,1.04,
510126000599,Teachers employed during both the current and previous school year,0.69,
510126000599,High-School Counselors,1,
510126000599,Total enrollment,,
510126000768,Classroom Teachers,1,0.94
510126000768,Classroom teachers in their first year of teaching,0.03,
510126000768,Classroom teachers in their second year of teaching,0.08,
510126000768,Teachers absent more than 10 days of the school year,0.37,
510126000768,Teachers employed during current school year,1.03,
510126000768,Teachers employed during both the current and previous school year,0.86,
510126000768,High-School Counselors,1,
510126000768,Total enrollment,,
510126000775,Classroom Teachers,1,0.97
510126000775,Classroom teachers in their first year of teaching,0,
510126000775,Classroom teachers in their second year of teaching,0.02,
510126000775,Teachers absent more than 10 days of the school year,0.41,
510126000775,Teachers employed during current school year,1.03,
510126000775,Teachers employed during both the current and previous school year,0.9,
510126000775,High-School Counselors,1,
510126000775,Total enrollment,,
510126001091,Classroom Teachers,1,0.89
510126001091,Classroom teachers in their first year of teaching,0.11,
510126001091,Classroom teachers in their second year of teaching,0.09,
510126001091,Teachers absent more than 10 days of the school year,0.31,
510126001091,Teachers employed during current school year,1.03,
510126001091,Teachers employed during both the current and previous school year,0.79,
510126001091,High-School Counselors,1,
510126001091,Total enrollment,,
510126001099,Classroom Teachers,1,1
510126001099,Classroom teachers in their first year of teaching,0,
510126001099,Classroom teachers in their second year of teaching,0.03,
510126001099,Teachers absent more than 10 days of the school year,0.51,
510126001099,Teachers employed during current school year,1.03,
510126001099,Teachers employed during both the current and previous school year,0.94,
510126001099,High-School Counselors,1,
510126001099,Total enrollment,,
510126001103,Classroom Teachers,1,0.87
510126001103,Classroom teachers in their first year of teaching,0.13,
510126001103,Classroom teachers in their second year of teaching,0.13,
510126001103,Teachers absent more than 10 days of the school year,0,
510126001103,Teachers employed during current school year,1.07,
510126001103,Teachers employed during both the current and previous school year,0.93,
510126001103,High-School Counselors,1,
510126001103,Total enrollment,,
510126001106,Classroom Teachers,1,0.86
510126001106,Classroom teachers in their first year of teaching,0,
510126001106,Classroom teachers in their second year of teaching,0,
510126001106,Teachers absent more than 10 days of the school year,0.14,
510126001106,Teachers employed during current school year,1,
510126001106,Teachers employed during both the current and previous school year,0.71,
510126001106,High-School Counselors,1,
510126001106,Total enrollment,,
510126001767,Classroom Teachers,1,0.85
510126001767,Classroom teachers in their first year of teaching,0.1,
510126001767,Classroom teachers in their second year of teaching,0.02,
510126001767,Teachers absent more than 10 days of the school year,0.43,
510126001767,Teachers employed during current school year,1.01,
510126001767,Teachers employed during both the current and previous school year,0.75,
510126001767,High-School Counselors,1,
510126001767,Total enrollment,,
510180000739,Classroom Teachers,1,0.95
510180000739,Classroom teachers in their first year of teaching,0,
510180000739,Classroom teachers in their second year of teaching,0,
510180000739,Teachers absent more than 10 days of the school year,0.25,
510180000739,Teachers employed during current school year,1.02,
510180000739,Teachers employed during both the current and previous school year,1.02,
510180000739,High-School Counselors,1,
510180000739,Total enrollment,,
510180000742,Classroom Teachers,1,0.82
510180000742,Classroom teachers in their first year of teaching,0.12,
510180000742,Classroom teachers in their second year of teaching,0.07,
510180000742,Teachers absent more than 10 days of the school year,0.58,
510180000742,Teachers employed during current school year,1,
510180000742,Teachers employed during both the current and previous school year,0.98,
510180000742,High-School Counselors,1,
510180000742,Total enrollment,,
510180000743,Classroom Teachers,1,0.83
510180000743,Classroom teachers in their first year of teaching,0.08,
510180000743,Classroom teachers in their second year of teaching,0.15,
510180000743,Teachers absent more than 10 days of the school year,0.68,
510180000743,Teachers employed during current school year,1.02,
510180000743,Teachers employed during both the current and previous school year,0.98,
510180000743,High-School Counselors,1,
510180000743,Total enrollment,,
510180000744,Classroom Teachers,1,0.83
510180000744,Classroom teachers in their first year of teaching,0.13,
510180000744,Classroom teachers in their second year of teaching,0.02,
510180000744,Teachers absent more than 10 days of the school year,0.51,
510180000744,Teachers employed during current school year,1.04,
510180000744,Teachers employed during both the current and previous school year,1.02,
510180000744,High-School Counselors,1,
510180000744,Total enrollment,,
510180000745,Classroom Teachers,1,0.86
510180000745,Classroom teachers in their first year of teaching,0.11,
510180000745,Classroom teachers in their second year of teaching,0.1,
510180000745,Teachers absent more than 10 days of the school year,0.73,
510180000745,Teachers employed during current school year,1.02,
510180000745,Teachers employed during both the current and previous school year,0.98,
510180000745,High-School Counselors,1,
510180000745,Total enrollment,,
510180000746,Classroom Teachers,1,1
510180000746,Classroom teachers in their first year of teaching,0.08,
510180000746,Classroom teachers in their second year of teaching,0.05,
510180000746,Teachers absent more than 10 days of the school year,0.24,
510180000746,Teachers employed during current school year,1,
510180000746,Teachers employed during both the current and previous school year,0.97,
510180000746,High-School Counselors,1,
510180000746,Total enrollment,,
510180000747,Classroom Teachers,1,0.87
510180000747,Classroom teachers in their first year of teaching,0.04,
510180000747,Classroom teachers in their second year of teaching,0.06,
510180000747,Teachers absent more than 10 days of the school year,0.53,
510180000747,Teachers employed during current school year,1.01,
510180000747,Teachers employed during both the current and previous school year,0.98,
510180000747,High-School Counselors,1,
510180000747,Total enrollment,,
510180000748,Classroom Teachers,1,0.82
510180000748,Classroom teachers in their first year of teaching,0.1,
510180000748,Classroom teachers in their second year of teaching,0.03,
510180000748,Teachers absent more than 10 days of the school year,0.45,
510180000748,Teachers employed during current school year,1.01,
510180000748,Teachers employed during both the current and previous school year,0.96,
510180000748,High-School Counselors,1,
510180000748,Total enrollment,,
510180000750,Classroom Teachers,1,0.96
510180000750,Classroom teachers in their first year of teaching,0.04,
510180000750,Classroom teachers in their second year of teaching,0.04,
510180000750,Teachers absent more than 10 days of the school year,0.4,
510180000750,Teachers employed during current school year,1,
510180000750,Teachers employed during both the current and previous school year,1.04,
510180000750,High-School Counselors,1,
510180000750,Total enrollment,,
510180000754,Classroom Teachers,1,0.98
510180000754,Classroom teachers in their first year of teaching,0.02,
510180000754,Classroom teachers in their second year of teaching,0.08,
510180000754,Teachers absent more than 10 days of the school year,0.6,
510180000754,Teachers employed during current school year,1.02,
510180000754,Teachers employed during both the current and previous school year,0.98,
510180000754,High-School Counselors,1,
510180000754,Total enrollment,,
510180000755,Classroom Teachers,1,0.87
510180000755,Classroom teachers in their first year of teaching,0.06,
510180000755,Classroom teachers in their second year of teaching,0.04,
510180000755,Teachers absent more than 10 days of the school year,0.44,
510180000755,Teachers employed during current school year,1.01,
510180000755,Teachers employed during both the current and previous school year,1.01,
510180000755,High-School Counselors,1,
510180000755,Total enrollment,,
510180000757,Classroom Teachers,1,0.67
510180000757,Classroom teachers in their first year of teaching,0,
510180000757,Classroom teachers in their second year of teaching,0.07,
510180000757,Teachers absent more than 10 days of the school year,0.27,
510180000757,Teachers employed during current school year,1,
510180000757,Teachers employed during both the current and previous school year,0.87,
510180000757,High-School Counselors,1,
510180000757,Total enrollment,,
510180000758,Classroom Teachers,1,0.97
510180000758,Classroom teachers in their first year of teaching,0.05,
510180000758,Classroom teachers in their second year of teaching,0.08,
510180000758,Teachers absent more than 10 days of the school year,0.34,
510180000758,Teachers employed during current school year,1,
510180000758,Teachers employed during both the current and previous school year,1,
510180000758,High-School Counselors,1,
510180000758,Total enrollment,,
510180000760,Classroom Teachers,1,0.9
510180000760,Classroom teachers in their first year of teaching,0.04,
510180000760,Classroom teachers in their second year of teaching,0.06,
510180000760,Teachers absent more than 10 days of the school year,0.33,
510180000760,Teachers employed during current school year,1.02,
510180000760,Teachers employed during both the current and previous school year,1.02,
510180000760,High-School Counselors,1,
510180000760,Total enrollment,,
510180000761,Classroom Teachers,1,0.96
510180000761,Classroom teachers in their first year of teaching,0.04,
510180000761,Classroom teachers in their second year of teaching,0.04,
510180000761,Teachers absent more than 10 days of the school year,0.68,
510180000761,Teachers employed during current school year,1,
510180000761,Teachers employed during both the current and previous school year,1.04,
510180000761,High-School Counselors,1,
510180000761,Total enrollment,,
510180000763,Classroom Teachers,1,0.96
510180000763,Classroom teachers in their first year of teaching,0.15,
510180000763,Classroom teachers in their second year of teaching,0,
510180000763,Teachers absent more than 10 days of the school year,0.48,
510180000763,Teachers employed during current school year,1,
510180000763,Teachers employed during both the current and previous school year,1,
510180000763,High-School Counselors,1,
510180000763,Total enrollment,,
510180001890,Classroom Teachers,1,0.96
510180001890,Classroom teachers in their first year of teaching,0,
510180001890,Classroom teachers in their second year of teaching,0,
510180001890,Teachers absent more than 10 days of the school year,0.53,
510180001890,Teachers employed during current school year,1.02,
510180001890,Teachers employed during both the current and previous school year,1.02,
510180001890,High-School Counselors,1,
510180001890,Total enrollment,,
510225000913,Classroom Teachers,1,1
510225000913,Classroom teachers in their first year of teaching,0,
510225000913,Classroom teachers in their second year of teaching,0.06,
510225000913,Teachers absent more than 10 days of the school year,0.15,
510225000913,Teachers employed during current school year,1.01,
510225000913,Teachers employed during both the current and previous school year,0.88,
510225000913,High-School Counselors,1,
510225000913,Total enrollment,,
510225000914,Classroom Teachers,1,1
510225000914,Classroom teachers in their first year of teaching,0.02,
510225000914,Classroom teachers in their second year of teaching,0.07,
510225000914,Teachers absent more than 10 days of the school year,0.05,
510225000914,Teachers employed during current school year,1,
510225000914,Teachers employed during both the current and previous school year,0.86,
510225000914,High-School Counselors,1,
510225000914,Total enrollment,,
510225000917,Classroom Teachers,1,1
510225000917,Classroom teachers in their first year of teaching,0,
510225000917,Classroom teachers in their second year of teaching,0.03,
510225000917,Teachers absent more than 10 days of the school year,0.14,
510225000917,Teachers employed during current school year,1.01,
510225000917,Teachers employed during both the current and previous school year,0.99,
510225000917,High-School Counselors,1,
510225000917,Total enrollment,,
510225000918,Classroom Teachers,1,1
510225000918,Classroom teachers in their first year of teaching,0,
510225000918,Classroom teachers in their second year of teaching,0.06,
510225000918,Teachers absent more than 10 days of the school year,0.08,
510225000918,Teachers employed during current school year,1,
510225000918,Teachers employed during both the current and previous school year,0.92,
510225000918,High-School Counselors,1,
510225000918,Total enrollment,,
510225000919,Classroom Teachers,1,1
510225000919,Classroom teachers in their first year of teaching,0,
510225000919,Classroom teachers in their second year of teaching,0,
510225000919,Teachers absent more than 10 days of the school year,0.12,
510225000919,Teachers employed during current school year,1.1,
510225000919,Teachers employed during both the current and previous school year,1.1,
510225000919,High-School Counselors,1,
510225000919,Total enrollment,,
510225000920,Classroom Teachers,1,1
510225000920,Classroom teachers in their first year of teaching,0,
510225000920,Classroom teachers in their second year of teaching,0,
510225000920,Teachers absent more than 10 days of the school year,0.12,
510225000920,Teachers employed during current school year,1.11,
510225000920,Teachers employed during both the current and previous school year,0.99,
510225000920,High-School Counselors,1,
510225000920,Total enrollment,,
510225000921,Classroom Teachers,1,0.99
510225000921,Classroom teachers in their first year of teaching,0,
510225000921,Classroom teachers in their second year of teaching,0.04,
510225000921,Teachers absent more than 10 days of the school year,0.14,
510225000921,Teachers employed during current school year,1.01,
510225000921,Teachers employed during both the current and previous school year,0.9,
510225000921,High-School Counselors,1,
510225000921,Total enrollment,,
510225000922,Classroom Teachers,1,1
510225000922,Classroom teachers in their first year of teaching,0,
510225000922,Classroom teachers in their second year of teaching,0.12,
510225000922,Teachers absent more than 10 days of the school year,0.12,
510225000922,Teachers employed during current school year,1.06,
510225000922,Teachers employed during both the current and previous school year,0.94,
510225000922,High-School Counselors,1,
510225000922,Total enrollment,,
510225000923,Classroom Teachers,1,1
510225000923,Classroom teachers in their first year of teaching,0,
510225000923,Classroom teachers in their second year of teaching,0.02,
510225000923,Teachers absent more than 10 days of the school year,0.19,
510225000923,Teachers employed during current school year,1,
510225000923,Teachers employed during both the current and previous school year,0.96,
510225000923,High-School Counselors,1,
510225000923,Total enrollment,,
510225000924,Classroom Teachers,1,1
510225000924,Classroom teachers in their first year of teaching,0,
510225000924,Classroom teachers in their second year of teaching,0.04,
510225000924,Teachers absent more than 10 days of the school year,0.23,
510225000924,Teachers employed during current school year,1,
510225000924,Teachers employed during both the current and previous school year,0.94,
510225000924,High-School Counselors,1,
510225000924,Total enrollment,,
510225000925,Classroom Teachers,1,0.97
510225000925,Classroom teachers in their first year of teaching,0,
510225000925,Classroom teachers in their second year of teaching,0.03,
510225000925,Teachers absent more than 10 days of the school year,0.18,
510225000925,Teachers employed during current school year,1.01,
510225000925,Teachers employed during both the current and previous school year,0.99,
510225000925,High-School Counselors,1,
510225000925,Total enrollment,,
510225000926,Classroom Teachers,1,1
510225000926,Classroom teachers in their first year of teaching,0,
510225000926,Classroom teachers in their second year of teaching,0,
510225000926,Teachers absent more than 10 days of the school year,0.09,
